data,hora,taxa
2023/05/22,11:17:19,13.399916088347606
2023/05/22,11:17:21,13.668598555218255
2023/05/22,11:17:24,14.048433175630693
2023/05/22,11:17:26,13.468173166434132
2023/05/22,11:17:28,14.10258879410011
2023/05/22,11:17:30,13.846337787748906
2023/05/22,11:17:32,14.117283758100548
2023/05/22,11:17:35,13.57349236431202
2023/05/22,11:17:37,13.864684685738647
2023/05/22,11:17:39,13.90605498165883
2023/05/22,11:17:46,13.445760139509682
2023/05/22,11:17:48,13.195945824721674
2023/05/22,11:17:51,13.80701516679064
2023/05/22,11:17:53,13.400982652249507
2023/05/22,11:17:55,13.845581790781432
2023/05/22,11:17:57,13.887083129977116
2023/05/22,11:17:59,14.13152589425799
2023/05/22,11:18:01,13.650634142318216
2023/05/22,11:18:03,13.732692027132163
2023/05/22,11:18:07,14.023937961421087
2023/05/22,11:23:53,13.913690918246216
2023/05/22,11:23:56,13.698485034815647
2023/05/22,11:23:58,13.790621472453253
2023/05/22,11:24:00,13.897980933492544
2023/05/22,11:24:01,14.101678623608912
2023/05/22,11:24:04,13.929735827907498
2023/05/22,11:24:06,13.364500495746888
2023/05/22,11:24:08,13.558631444864155
2023/05/22,11:24:11,13.852173429846117
2023/05/22,11:24:14,13.507589057690588
